Title_URL,brand,Name_URL,Name,Description,shipsfree,product_in_stock,Discount,Price,Price1,primarybtn,Application,Brand,Category,Color,EmissionCode,GradeType,Material,MountingHardwareIncluded,ProductType,UPC,PartNumber,make,engine
PART# 84130-3,EDGE,https://www.holley.com/products/off-road/parts/84130-3,INSIGHT CTS3,"Insight CTS3 is the industry’s #1 preferred display for trucks, offering premium touchscreen monitoring, advanced diagnostics and customizable gauges. Perfect for towing, it delivers real-time data for peace of mind, safety, and efficiency.",Free Shipping,In Stock,MSRP $562.95,$448.95,$114.00,ADD TO CART,,,,,,,,,,,,,
PART# 85400-200,EDGE,https://www.holley.com/products/off-road/parts/85400-200,EVOLUTION CTS3 FOR DURAMAX,"The Evolution CTS3 for GM Duramax delivers powerful tuning, a sleek touchscreen, and real-time engine monitoring. Boost towing power, throttle response, and efficiency with this premium all-in-one tuner and performance upgrade.",Free Shipping,In Stock,MSRP $814.95,$650.95,$164.00,ADD TO CART,Yes,Yes,No,Yes,Yes,ABS,"
		Edge
		
	",D-802-13,Yes,No,Tuners and Programmers,CHEVROLET (109)GMC (125),403/6.6L V8 (234)
PART# 22451,RANGE TECHNOLOGY,https://www.holley.com/products/off-road/parts/22451,PULSAR LT FOR 2019-2022 GM GAS TRUCKS,"Unlock full control of your GM truck with the Pulsar LT! Adjust throttle response, tire size, gear ratio, and disable AFM/DFM, no tuning or tools needed. Plug-and-play power, performance, and precision for your Silverado, Sierra, or SUV.",Free Shipping,In Stock,MSRP $674.95,$538.95,$136.00,ADD TO CART,no,No,No,No,ABS,"
		Range Technology
		
	",No,No,Tuners and Programmers,No,7,,
PART# 85400-100,EDGE,https://www.holley.com/products/off-road/parts/85400-100,EVOLUTION CTS3 FOR POWER STROKE,"Evolution CTS3 for Ford Power Stroke delivers powerful tuning, a sleek touchscreen, and real-time engine monitoring. Boost towing power, throttle response, and efficiency with this premium all-in-one tuner and performance upgrade.",Free Shipping,In Stock,MSRP $814.95,$650.95,$164.00,ADD TO CART,Yes,Yes,No,Yes,Yes,ABS,"
		Edge
		
	","D-802-13, D-802-5",Yes,No,Tuners and Programmers,,
PART# 85400-300,EDGE,https://www.holley.com/products/off-road/parts/85400-300,EVOLUTION CTS3 FOR CUMMINS,"The Evolution CTS3 for Dodge Ram Cummins delivers powerful tuning, a sleek touchscreen, and real-time engine monitoring. Boost towing power, throttle response, and efficiency with this premium all-in-one tuner and performance upgrade.",Free Shipping,In Stock,MSRP $814.95,$650.95,$164.00,ADD TO CART,Yes,Yes,No,Yes,Yes,ABS,"
		Edge
		
	",D-802-13,Yes,No,Tuners and Programmers,DODGE (77)RAM (20),359/5.9L L6 (45)408/6.7L L6 (52)
PART# 32710,EDGE,https://www.holley.com/products/off-road/parts/32710,EZX MODULE,2019-2024 Ram 2500/3500 Cummins 2019-2024 Ram Cab & Chassis 3500/4500/5500,Free Shipping,,MSRP $821.95,$655.95,$166.00,,no,No,No,No,ABS,"
		Edge
		
	",No,No,Tuners and Programmers,No,7,,
PART# 85450-250,EDGE,https://www.holley.com/products/off-road/parts/85450-250,EDGE EVOLUTION CTS3,1999-2016 GM Vehicles - Gas,Free Shipping,In Stock,MSRP $843.95,$673.95,$170.00,ADD TO CART,Yes,No,No,Yes,Yes,ABS,"
		Edge
		
	",No,No,Tuners and Programmers,Yes,,
PART# 98620,EDGE,https://www.holley.com/products/off-road/parts/98620,EAS EGT KIT - DAILY DRIVER/TOW KIT,Compatible w/ Edge CS2/CTS2/CTS3,Free Shipping,In Stock,MSRP $211.95,$169.15,$42.80,ADD TO CART,"
		Edge
		
	",Tuners and Programmers,Yes,6,Diesel,2.75,9.5,Cables and Adapters,1,6.25,810115013068,,
PART# 20202,EDGE,https://www.holley.com/products/off-road/parts/20202,EZ FOR 2024-2025 GM L5P DURAMAX,"Edge EZ for 2024–2025 GM L5P Duramax adds emissions-safe power, throttle response & towing confidence. Plug-and-play, no-trace, 50-state legal module",Free Shipping,,MSRP $618.95,$493.95,$125.00,,no,Yes,No,No,3,9.5,ABS,6,"
		Edge
		
	",D-115-30,Yes,,
PART# FR84130-3,EDGE,https://www.holley.com/products/off-road/parts/FR84130-3,FACTORY REFURBISHED INSIGHT CTS3,"Insight CTS3 is the industry’s #1 preferred display for trucks, offering premium touchscreen monitoring, advanced diagnostics and customizable gauges. Perfect for towing, it delivers real-time data for peace of mind, safety, and efficiency.",,,MSRP $472.95,$419.95,$53.00,,Yes,Yes,Yes,"
		Edge
		
	",Tuners and Programmers,Yes,Yes,Yes,6,Yes,Yes,CADILLAC (39)CHEVROLET (981)DODGE (489)FORD (1148)GMC (879)HUMMER (17)LINCOLN (19)RAM (597)Show All,/6.7L (11)164/2.7L V6 (18)166/2.7L L4 (8)178/2.9L L4 (4)182/3.0L V6 (63)183/3.0L L6 (28)183/3.0L V6 (10)213/3.5L V6 (78)215/3.5L V6 (6)223/3.7L L5 (8)226/3.7L V6 (3)227/3.7L V6 (9)239/3.9L V6 (52)245/4.0L V6 (100)262/4.3L V6 (7)281/4.6L V8 (57)287/4.7L V8 (111)294/4.8L V8 (141)302/5.0L V8 (67)305/5.0L V8 (3)318/5.2L V8 (35)325/5.3L V8 (594)330/5.4L V8 (269)345/5.7L V8 (350)350/5.7L V8 (50)359/5.9L L6 (50)360/5.9L V8 (85)363/6.0L V8 (59)364/6.0L V8 (372)376/6.2L V8 (136)379/6.2L V8 (47)391/6.4L V8 (39)392/6.4L V8 (126)395/6.5L V8 (3)401/6.6L V8 (57)403/6.6L V8 (364)406/6.7L V8 (165)408/6.7L L6 (238)415/6.8L V10 (120)445/7.3L V8 (85)454/7.4L V8 (22)496/8.1L V8 (119)Show All
